Year,Province,GDP,CPI,Population,Graduations_College,Graduations_University,Total_retail_sales,First_industry,Second_industry,Third_industry,Natural_Population_growth_rate,unemployment_rate
2012,Shannxi,14142.4,102.7885376,3787,13.8755,11.9029,4581.623149,1314.8,7612.3,5215.3,3.88,3.22
2012,Qinghai,1528.5,103.0603648,571,0.7206,0.5654,480.2501707,174.2,620.2,734.1,8.24,3.37
2012,Heilongjiang,11015.8,103.1774133,3724,11.8255,6.8443,5491.02111,2119.6,5099.8,3796.5,1.27,4.15
2013,Shanghai,23204.1,102.2981085,2448,4.9179,9.1174,8556.95677,131.6,8286.5,14786,2.94,3.98
2013,Yunnan,12825.5,103.1159934,4641,6.8357,7.5603,4112.56334,1878.5,5000.5,5946.5,6.17,3.98
2013,Neimenggu,11392.4,103.2269952,2455,5.973,5.4932,5114.16432,1582.9,4870.1,4939.4,3.36,3.66
2013,Beijing,21134.6,103.2955186,2125,3.5525,12.007,8872.11895,159.8,4168.3,16806.5,4.41,1.21
2013,Jilin,9427.9,102.8987903,2668,4.7215,10.3733,5426.42529,1250.2,3572.1,4605.5,0.32,3.7
2013,Sichuan,26518,102.807802,8109,16.8067,18.1117,11000.96243,3257.4,12418.9,10841.7,3,4.11
2013,Tianjin,9945.4,103.0800792,1410,5.1683,7.6521,4470.42859,154.8,4407.1,5383.6,2.28,3.6
2013,Ningxia,2327.7,103.4076067,666,1.1357,1.418,668.5142,210.7,1059.5,1057.5,8.62,4.06
2013,Anhui,20584,102.4092442,5988,16.7906,13.5437,7044.66234,2173.2,10233.4,8177.4,6.82,3.41
2013,Shandong,47344.3,102.2297489,9746,25.3465,21.894,22294.8407,4454.1,22615.9,20274.3,5.01,3.24
2013,Shanxi,11987.2,103.061236,3535,8.9594,8.5217,5139.29303,697.6,6684.3,4605.3,5.24,3.13
2013,Guangdong,62503.4,102.4649716,11270,23.6808,21.7874,25453.93423,2876.4,29343,30284,6.02,2.43
2013,Guangxi,12448.4,102.2057845,4731,10.6287,7.1938,5133.07882,2290.6,4709.3,5448.4,7.93,3.3
2013,Xinjiang,8392.6,103.9464219,2285,3.5717,3.4168,2179.45207,1326.6,3479.9,3586.2,10.92,3.36
2013,Jiangsu,59349.4,102.3474823,8192,24.0621,25.2051,20878.19704,3447.5,29149.4,26752.5,2.43,3.03
2013,Jiangxi,14300.2,102.5314893,4476,13.0826,11.3694,4696.11234,1540.7,7661.9,5097.7,6.91,3.17
2013,Hebei,24259.6,102.9639079,7288,19.339,15.5624,10516.74717,3141.9,11178.4,9939.3,6.17,3.68
2013,Henan,31632.5,102.878507,9573,23.7413,20.9613,12426.60514,3827.2,15995.4,11809.9,5.51,3.09
2013,Zhejiang,37334.6,102.2977384,5784,12.2743,13.9796,15970.83741,1718.7,18162.8,17453.1,4.56,3.01
